0,0,31,0,31,12,9,6,7,8,3,2,2
0,0,31,0,29,13,10,2,7,9,3,4,2
0,0,31,0,31,11,7,3,10,10,3,4,1
0,0,33,0,18,7,10,9,3,11,3,4,5
1,0,0,15,21,7,10,7,4,11,3,4,5
1,0,10,10,31,6,0,15,14,0,5,4,2
2,0,10,11,30,3,2,15,13,0,4,4,2
5,0,10,12,30,5,1,13,9,9,6,1,1
4,0,9,11,30,4,1,15,15,1,2,2,2
1,0,9,9,30,4,1,15,13,0,3,7,3
0,0,10,9,31,1,6,15,2,0,6,6,4
1,0,22,15,11,4,6,6,10,9,3,5,5
5,0,18,20,12,11,6,4,2,6,3,4,5
10,0,21,15,19,10,5,7,5,10,3,2,5
11,0,10,16,20,8,10,6,6,7,2,5,5
11,0,10,16,16,8,8,9,5,6,1,4,6
12,0,10,16,14,6,8,10,6,4,2,4,5
11,0,10,16,13,6,9,9,7,5,1,4,6
11,0,10,16,13,5,8,11,6,4,1,4,6
11,0,10,16,12,6,9,10,8,5,1,4,7
11,0,10,16,11,4,8,11,9,6,1,3,6
10,0,10,15,10,6,9,10,7,6,2,2,6
9,0,10,13,11,6,10,10,7,7,1,3,7
9,0,10,12,12,7,11,11,7,7,1,2,7
8,0,10,7,14,8,12,9,5,5,2,1,7
5,0,11,12,9,6,14,8,5,3,1,2,5
0,0,35,18,6,1,11,9,9,11,1,4,2
0,0,0,24,20,3,7,5,9,10,5,4,3
4,0,0,24,18,3,7,6,8,10,5,3,3
8,0,8,6,23,13,7,6,6,9,4,2,3
7,0,10,5,30,6,4,10,9,10,1,1,5
6,0,10,5,30,2,6,14,8,6,1,1,6
7,0,10,3,30,8,3,8,8,10,1,2,4
8,0,10,4,27,11,10,2,6,6,3,3,5
5,0,35,2,18,8,12,7,5,3,2,2,4
11,0,27,22,12,5,5,6,9,9,5,3,3
8,0,9,6,19,11,9,10,12,4,1,0,5
8,0,10,4,29,8,9,7,7,3,1,5,6
7,0,10,4,30,6,9,6,4,3,2,5,4
7,0,11,4,29,10,9,3,9,0,2,5,5
6,0,11,5,29,10,8,5,6,5,0,7,3
6,0,11,5,29,8,8,5,8,3,0,7,3
5,0,11,5,30,8,6,9,3,5,0,7,5
6,0,11,4,28,10,8,7,6,6,0,6,3
5,0,11,4,29,7,8,11,3,6,0,5,5
5,0,11,5,30,8,5,10,0,8,1,4,6
2,0,11,5,30,7,6,11,0,9,4,2,7
1,0,12,4,22,7,7,15,0,7,2,1,7
1,0,12,7,19,5,7,15,1,9,2,1,4
0,0,30,9,6,15,6,11,5,11,0,0,7
0,0,32,19,10,8,0,9,10,12,4,2,7
